"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval"
"1","Salmonella_enterica","sample_type","Mock",10.9213580423062,0.270013058999143,124,22,8.62919506702273e-64,2.83814225754378e-60
"2","Bacillus_intestinalis","sample_type","Mock",4.6431568210776,0.125805194700502,124,31,4.63568564045301e-60,7.62338503572498e-57
"3","Salmonella_enterica","sampletype_treatment","Mock*Host zero",-10.9213580423061,0.366263533177051,124,22,1.44817877040005e-51,1.58768665861525e-48
"4","Salmonella_enterica","sampletype_treatment","Mock*Benzonase",-10.2042959915869,0.366263533177051,124,22,6.25509430172649e-49,5.14325128959461e-46
"5","Salmonella_enterica","sampletype_treatment","Mock*QIAamp",-9.27991666906293,0.366263533177051,124,22,2.58771312287232e-45,1.70219769222541e-42
"6","Listeria_floridensis","sample_type","Mock",10.0422787739836,0.154477034647,124,33,3.57155250165534e-43,1.9578060296574e-40
"7","Bacillus_intestinalis","sampletype_treatment","Mock*Molysis",-3.39990763420466,0.170650468810024,124,31,1.36020395116754e-36,6.39101542198577e-34
"8","Salmonella_enterica","sampletype_treatment","Mock*Molysis",-6.82117326089851,0.366263533177051,124,22,2.79886023019485e-34,1.15068141213886e-31
"9","Listeria_monocytogenes","sample_type","Mock",1.60734631314119,0.0904198734359175,124,31,1.010181725557e-32,3.69165299484108e-30
"10","Granulicatella_elegans","treatment","Molysis",12.2648040452422,0.664174563904746,124,44,1.5322588969183e-31,5.03959951196428e-29
"11","Granulicatella_elegans","treatment","Host zero",11.9696419364244,0.664174563904745,124,44,8.04510988620883e-31,2.40548785597644e-28
"12","Listeria_monocytogenes","sampletype_treatment","Mock*Host zero",2.00116704121218,0.122651483734963,124,31,6.05525206204688e-30,1.65964366933935e-27
"13","Granulicatella_elegans","treatment","QIAamp",11.5641865164858,0.664174563904746,124,44,8.1673356520056e-30,2.06633591995742e-27
"14","Granulicatella_elegans","treatment","Benzonase",11.4788188629506,0.664174563904745,124,44,1.33836304295355e-29,3.14419717733874e-27
"15","Streptococcus_infantis","treatment","Molysis",5.11990501359629,0.29884566153737,124,27,3.0850682632582e-29,6.76452634523747e-27
"16","Streptococcus_infantis","treatment","Benzonase",5.04819632627573,0.298845661537369,124,27,7.78954361127019e-29,1.60123805859173e-26
"17","Streptococcus_infantis","treatment","lyPMA",5.01962323030783,0.29884566153737,124,27,1.12893563195006e-28,2.18415840793161e-26
"18","Pseudomonas_aeruginosa","treatment","Molysis",-12.0424890059009,0.751224330659696,124,53,1.58578567060012e-27,2.89758281700211e-25
"19","Streptococcus_infantis","treatment","Host zero",4.80607652984543,0.29884566153737,124,27,1.87510672910477e-27,3.2459084379082e-25
"20","Streptococcus_sp_F0442","treatment","Host zero",6.20864694170665,0.40109803654938,124,23,2.44887520341916e-26,4.0271752720228e-24
"21","Streptococcus_sp_F0442","treatment","Molysis",6.15267386085517,0.401098036549381,124,23,4.30727035508562e-26,6.74600580851267e-24
"22","Granulicatella_elegans","treatment","lyPMA",10.027630847549,0.664174563904746,124,44,8.15899142702825e-26,1.21976921834072e-23
"23","Rothia_dentocariosa","treatment","Molysis",5.5408251318752,0.368580521379122,124,28,1.54146389574582e-25,2.19241370466115e-23
"24","Listeria_monocytogenes","sampletype_treatment","Mock*QIAamp",1.73018348644694,0.122651483734963,124,31,1.59981541234015e-25,2.19241370466115e-23
"25","Granulicatella_elegans","sampletype_treatment","Mock*QIAamp",-13.637805091947,0.919508046945728,124,44,2.45970216038078e-25,3.23598416219695e-23
"26","Rothia_dentocariosa","treatment","Host zero",5.44000870721403,0.368580521379122,124,28,4.74235479875811e-25,5.99907882042901e-23
"27","Streptococcus_australis","treatment","QIAamp",7.16740277284193,0.491663071928485,124,25,6.84054389870497e-25,8.33279588253357e-23
"28","Granulicatella_elegans","sampletype_treatment","Mock*Host zero",-13.3176400982227,0.919508046945728,124,44,1.05554789662892e-24,1.23989179714733e-22
"29","Listeria_monocytogenes","sampletype_treatment","Mock*Molysis",1.67712922824342,0.122651483734963,124,31,1.25691209436559e-24,1.42551168219601e-22
"30","Rothia_dentocariosa","treatment","QIAamp",5.34179248555518,0.368580521379122,124,28,1.43026337228642e-24,1.56804541048334e-22
"31","Streptococcus_infantis","treatment","QIAamp",4.27056708271669,0.29884566153737,124,27,2.86594429848762e-24,3.04067445087929e-22
"32","Streptococcus_sp_F0442","treatment","QIAamp",5.68114252193107,0.40109803654938,124,23,5.5294148308591e-24,5.68320168084237e-22
"33","Rothia_dentocariosa","treatment","lyPMA",5.1543806843404,0.368580521379122,124,28,1.20489342080738e-23,1.20087710940469e-21
"34","Streptococcus_australis","treatment","Molysis",6.82059224878007,0.491663071928485,124,25,1.36339480662974e-23,1.31888397617801e-21
"35","Streptococcus_sp_F0442","treatment","Benzonase",5.57526941545188,0.401098036549381,124,23,1.68437463149364e-23,1.58283090370931e-21
"36","Gemella_haemolysans","treatment","Benzonase",10.2680741968231,0.740586991647634,124,68,1.81453274253598e-23,1.61297248383806e-21
"37","Granulicatella_elegans","sampletype_treatment","Nasal*Molysis",-12.2648040452422,0.899821990544868,124,44,1.77852568413503e-23,1.61297248383806e-21
"38","Gemella_haemolysans","treatment","Molysis",10.1813468820031,0.740586991647634,124,68,2.98766878757978e-23,2.58590595851313e-21
"39","Granulicatella_elegans","sampletype_treatment","Nasal*Host zero",-11.9696419364244,0.901458242891845,124,44,7.77013741423006e-23,6.55281588600069e-21
"40","Streptococcus_australis","treatment","Host zero",6.58670106385082,0.491663071928484,124,25,1.06161858262699e-22,8.7291587956504e-21
"41","Listeria_monocytogenes","sampletype_treatment","Mock*Benzonase",1.55607035794461,0.122651483734963,124,31,1.49498523478144e-22,1.19926986273077e-20
"42","Gemella_haemolysans","treatment","lyPMA",9.87967583057775,0.740586991647634,124,68,1.71498010715876e-22,1.34299275534409e-20
